곡 id,곡명,앨범명,앨범id,장르,좋아요수,발매일,가수
31266291,Answer : Love Myself,LOVE YOURSELF 結 `Answer`,10197480,Rap / Hip-hop,132731,20180824,방탄소년단
30637982,DNA,LOVE YOURSELF 承 `Her`,10097112,Rap / Hip-hop,335791,20170918,방탄소년단
31399728,24/7,DON`T MESS UP MY TEMPO - The 5th Album,10218750,R&B / Soul,92084,20181102,EXO
31399724,Sign,DON`T MESS UP MY TEMPO - The 5th Album,10218750,Dance,90178,20181102,EXO
31524320,그때가 좋았어,그때가 좋았어,10237420,Ballad,20981,20181231,케이시 (Kassy)
31399731,여기 있을게 (Smile On My Face),DON`T MESS UP MY TEMPO - The 5th Album,10218750,Ballad,87208,20181102,EXO
31062863,열애중,RECIPE,10164839,Ballad,149396,20180508,벤
31399730,Damage,DON`T MESS UP MY TEMPO - The 5th Album,10218750,Dance,83744,20181102,EXO
31399727,가끔 (With You),DON`T MESS UP MY TEMPO - The 5th Album,10218750,R&B / Soul,84933,20181102,EXO
31532642,사계 (하루살이),Circular,10238710,Ballad,22968,20190102,엠씨더맥스
31399722,오아시스 (Oasis),DON`T MESS UP MY TEMPO - The 5th Album,10218750,R&B / Soul,86738,20181102,EXO
31399729,후폭풍 (Bad Dream),DON`T MESS UP MY TEMPO - The 5th Album,10218750,R&B / Soul,83628,20181102,EXO
31316695,하루도 그대를 사랑하지 않은 적이 없었다,하루도 그대를 사랑하지 않은 적이 없었다,10205805,Ballad,136658,20180919,임창정
31085238,전하지 못한 진심 (Feat. Steve Aoki),LOVE YOURSELF 轉 `Tear`,10168559,Rap / Hip-hop,192582,20180518,방탄소년단
31340985,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),쇼미더머니 777 Episode 1,10209647,Rap / Hip-hop,121344,20181006,"pH-1, Kid Milli, 루피(Loopy)"
31266288,Epiphany,LOVE YOURSELF 結 `Answer`,10197480,Rap / Hip-hop,121019,20180824,방탄소년단
30806536,Universe,"Universe - 겨울 스페셜 앨범, 2017",10122917,Ballad,186028,20171226,EXO
31133898,너 없인 안 된다,THIS IS US,10175106,Ballad,150942,20180618,비투비
30672529,그리워하다,Brother Act.,10102658,Ballad,219529,20171016,비투비
31568442,No Question,No Question,10243997,R&B / Soul,14677,20190118,"매드클라운, 스텔라장 (Stella Jang)"
31510409,알았다면,알았다면,10235477,Ballad,22307,20181220,장덕철
30699142,지나오다,About You,10106853,Ballad,192851,20171031,닐로 (Nilo)
31403156,너는 어땠을까,별,10219296,Ballad,39183,20181105,노을
31085244,Anpanman,LOVE YOURSELF 轉 `Tear`,10168559,Rap / Hip-hop,149881,20180518,방탄소년단
